"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Donvoegt: Looks as if  @Barnaby_Joyce has hit the nail on the head ... “Scum” &amp; Dark Forces occupy OUR Parliament! It’s time for a chan…",FALSE,0,NA,2018-06-05 04:25:59,FALSE,NA,"1003855429544185856",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","aahreally",47,TRUE,FALSE,NA,NA
"2","@SenatorCash @AustChamSG #auspol 
Soooo
 thats where you are hiding out from court case thats cost taxpayers  over… https://t.co/SkNeyj3mZe",FALSE,0,"SenatorCash",2018-06-05 04:25:59,TRUE,"1003583914521194496","1003855428474683392","274249799","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","banas51",0,FALSE,FALSE,NA,NA
"3","RT @TonyHWindsor: This is an incredible example of how dumb some of the hierarchy of Tamworth Nats can be ...couldn't even put a sentence b…",FALSE,0,NA,2018-06-05 04:25:59,FALSE,NA,"1003855426356572162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Mattie_Love",39,TRUE,FALSE,NA,NA
"4","RT @LaborFAIL: Compare the pair.
This is medias revelation of a pregnant Shorten mistress juxtaposed against revelations of a pregnant Barn…",FALSE,0,NA,2018-06-05 04:25:54,FALSE,NA,"1003855405494091776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boldsilver99",9,TRUE,FALSE,NA,NA
"5","RT @daveyk317: Guess what , Kelly O’Dwyer just let the cat out of the bag.

Businesses are using wage theft &amp; superannuation to stay afloat…",FALSE,0,NA,2018-06-05 04:25:53,FALSE,NA,"1003855401060745217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judyvw2",78,TRUE,FALSE,NA,NA
"6","RT @BernardGaynor: One of these things does not match the other.

Care to revisit your claim of 'one standard for all' @ChiefAusArmy? 

#au…",FALSE,0,NA,2018-06-05 04:25:50,FALSE,NA,"1003855389140529153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhosFibbing",10,TRUE,FALSE,NA,NA
"7","RT @ricklevy67: Advances in clean energy expected to cause a sudden drop in demand for fossil fuels, leaving companies with trillions in st…",FALSE,0,NA,2018-06-05 04:25:49,FALSE,NA,"1003855387102097408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BellaFlokarti",3,TRUE,FALSE,NA,NA
"8","RT @deniseshrivell: Yet another thing to never forgive Turnbull for - his complete misjudgement in having a DD election &amp; letting these nar…",FALSE,0,NA,2018-06-05 04:25:49,FALSE,NA,"1003855385902510081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msrose2343",5,TRUE,FALSE,NA,NA
"9","RT @MinhKular: Peter Dutton’s firearms advisory council proposal sparks outrage https://t.co/zPTEsft64l #auspol #qldpol #wapol",FALSE,0,NA,2018-06-05 04:25:48,FALSE,NA,"1003855383796932608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bensab3",3,TRUE,FALSE,NA,NA
"10","RT @HailMarxism: This do nothing government has already launched their latest PR campaign to blame kids for the pathetic state of the NBN.…",FALSE,0,NA,2018-06-05 04:25:48,FALSE,NA,"1003855383570440192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ldundas96",6,TRUE,FALSE,NA,NA
"11","RT @Jackthelad1947: https://t.co/qxHQcJCI17

Great work @AnnastaciaMP 

There are thousands of jobs in renewables.

#auspol #qldpol 

#Clim…",FALSE,0,NA,2018-06-05 04:25:43,FALSE,NA,"1003855362250792960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","animal_justice1",9,TRUE,FALSE,NA,NA
"12","RT @unionsaustralia: The IPA������ say that wealthy people paying their fair share of tax to fund Australia's schools &amp; hospitals is akin to rac…",FALSE,0,NA,2018-06-05 04:25:42,FALSE,NA,"1003855358807293952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MinhKular",57,TRUE,FALSE,NA,NA
"13","RT @Jordonsteele: Legitimately, does Bill Morrow understand bandwidth...?

#nbn #auspol #greens https://t.co/11tiZQ8a06",FALSE,0,NA,2018-06-05 04:25:42,FALSE,NA,"1003855356907229185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tPertyy",13,TRUE,FALSE,NA,NA
"14","RT @TonyHWindsor: This is an incredible example of how dumb some of the hierarchy of Tamworth Nats can be ...couldn't even put a sentence b…",FALSE,0,NA,2018-06-05 04:25:37,FALSE,NA,"1003855335407300608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlistairPDBain",39,TRUE,FALSE,NA,NA
